Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Product rating count (product.metafields.reviews.rating_count),CODK Hide Product (product.metafields.seo.hidden),Age group (product.metafields.shopify.age-group),Clothing features (product.metafields.shopify.clothing-features),Color (product.metafields.shopify.color-pattern),Fabric (product.metafields.shopify.fabric),Fit (product.metafields.shopify.fit),Neckline (product.metafields.shopify.neckline),Pants length type (product.metafields.shopify.pants-length-type),Size (product.metafields.shopify.size),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target gender (product.metafields.shopify.target-gender),Top length type (product.metafields.shopify.top-length-type),Waist rise (product.metafields.shopify.waist-rise),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
veltora-aurex-formal,VELTORA AUREX FORMAL,"<p><img src=""https://cdn.shopify.com/s/files/1/0800/0313/7790/files/file_00000000fd8c720b930fa6798798c0ca.png?v=1779914586"" alt="""" width=""373"" height=""249""></p>
<p><strong>VELTORA AUREX FORMAL</strong></p>
<p><span style=""text-decoration: underline;""><strong>Model </strong></span>Wearing : <span style=""color: rgb(13, 105, 242);""><strong>30 </strong></span><span style=""text-decoration: underline;"">Size</span><br><span style=""text-decoration: underline;""><strong>Weight </strong></span>: <span style=""color: rgb(31, 104, 214);""><strong>64 </strong></span><span style=""text-decoration: underline;"">KG</span><br><span style=""text-decoration: underline;""><strong>Height </strong></span>: <span style=""color: rgb(22, 104, 227);""><strong>5’9</strong></span>”</p>
<p>UNIQUE <strong>GURKHA STYLE</strong></p>
<p>Premium <strong>Gurkha </strong>style formal pant with a classy antique-inspired look and elegant wide fit.</p>
<p><span style=""text-decoration: underline;""><span style=""color: rgb(22, 23, 24); text-decoration: underline;""><strong>SIGNATURE </strong></span></span>DESIGN</p>
<p>Features a <strong>unique </strong>double layer waist design with stylish front pleats for a <strong>standout </strong>formal appearance.</p>
<p><span style=""text-decoration: underline;""><strong>PREMIUM </strong>FABRIC</span></p>
<p>Rich premium fabric with smooth texture, perfect fall, and luxury finishing for a modern formal vibe.</p>",CONFELION,Apparel & Accessories > Clothing > Pants > Trousers,clothes,"formal, veltora aurex formal",true,Size,26,product.metafields.shopify.size,,,,,,,,700.0,shopify,20,deny,manual,1259.00,2399.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0800/0313/7790/files/file_0000000093a87209920b1130d217ee0f.png?v=1779992330,1,"",false,,,,,adults,,black,,wide,,long,26; 28; 30; 32; 34,,male,,,,g,,800.00,active
veltora-aurex-formal,,,,,,,,,28,,,,,,,,,700.0,shopify,29,deny,manual,1259.00,2399.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0800/0313/7790/files/IMG_20260528_191955_c459f137-274a-400b-837b-426f50f9e95d.png?v=1779978614,2,"",,,,,,,,,,,,,,,,,,,g,,800.00,
veltora-aurex-formal,,,,,,,,,30,,,,,,,,,700.0,shopify,6,deny,manual,1259.00,2399.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0800/0313/7790/files/file_00000000335c720bb6b1f89147fe21cc_47a7e41d-ff87-4485-bfc7-f011e58f86f9.png?v=1779978614,3,"",,,,,,,,,,,,,,,,,,,g,,800.00,
veltora-aurex-formal,,,,,,,,,32,,,,,,,,,700.0,shopify,8,deny,manual,1259.00,2399.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0800/0313/7790/files/file_000000008f88720b944f8018d8900dd3_3f56fb72-288c-424b-8365-1b81a2f4aeb2.png?v=1779978614,4,"",,,,,,,,,,,,,,,,,,,g,,800.00,
veltora-aurex-formal,,,,,,,,,34,,,,,,,,,700.0,shopify,8,deny,manual,1259.00,2399.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0800/0313/7790/files/file_0000000090507206b89ef454d7661bbc.png?v=1779978614,5,"",,,,,,,,,,,,,,,,,,,g,,800.00,
veltora-aurex-formal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0800/0313/7790/files/file_00000000d508720697a33849280ffe97.png?v=1779978614,6,"",,,,,,,,,,,,,,,,,,,,,,
veltora-aurex-formal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0800/0313/7790/files/IMG_20260528_193812_18ee5ec7-09b4-464d-81d9-c84c4b2ea467.png?v=1779978614,7,"",,,,,,,,,,,,,,,,,,,,,,
veltora-aurex-formal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0800/0313/7790/files/file_000000001534720692e63993beaa71bc_1.jpg?v=1779991549,8,"",,,,,,,,,,,,,,,,,,,,,,
veltora-aurex-formal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0800/0313/7790/files/IMG_20260528_235559.png?v=1779992848,9,"",,,,,,,,,,,,,,,,,,,,,,
phantom-cutout-tee,PHANTOM CUTOUT TEE,"<p><img src=""https://cdn.shopify.com/s/files/1/0800/0313/7790/files/IMG_20260516_145138_jpg.jpg?v=1778923380"" alt="""" width=""350"" height=""525""></p>
<p><strong>PERFECT BOXY FIT</strong></p>
<p>Made For Indian Audience According Design</p>
<p>Model is wearing <strong>M size</strong><br><strong>Height</strong>: 5’9”<br><strong>Weight</strong>: 66 KG</p>
<p>This tee is made with a premium combination of <strong>Black &amp; Grey fabric,</strong> giving it a unique and standout look. The fabric is soft, comfortable, and perfect for everyday wear.</p>
<p>The red chest logo is done with high-quality <strong>screen printing </strong>that does not fade or crack easily.</p>
<p>Designed in a modern <strong>boxy </strong>fit, this tee is specially made according to Indian audience fitting and styling. The phantom cutout pattern makes this design different from regular basic tees and gives it a premium <span style=""text-decoration: underline;"">streetwear </span><strong>vibe</strong>.</p>",CONFELION,Apparel & Accessories > Clothing > Clothing Tops > T-Shirts,clothes,"cutout tshirt, phantom, phantom cutout tee, unique tee",true,Size,s,product.metafields.shopify.size,,,,,,,,610.0,shopify,19,deny,manual,969.00,1799.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0800/0313/7790/files/file_00000000eac4720691f0988e07867f12.png?v=1779373480,1,"",false,,,,,adults,,black; gray,,,,,s; m; l; xl,short,male,medium,,,g,,480.00,active
